81.958 122.00 0.00
81.973 0.00 0.00
81.987 317.00 0.00
82.003 43.00 0.00
82.005 58.00 0.00
82.019 288.00 0.00
82.034 0.00 0.00
82.051 229.00 0.00
82.065 229.00 0.00
82.066 0.00 0.00
82.082 307.00 0.00
82.097 146.00 0.00
82.112 0.00 0.00
82.132 327.00 0.00
82.134 63.00 0.00
82.148 29.00 0.00
82.162 297.00 0.00
82.181 0.00 0.00
82.195 205.00 0.00
82.197 249.00 0.00
82.211 0.00 0.00
82.225 292.00 0.00
82.244 170.00 0.00
82.264 0.00 0.00
82.266 327.00 0.00
82.275 83.00 0.00
82.291 0.00 0.00
82.304 288.00 0.00
82.306 0.00 0.00
82.325 249.00 0.00
82.343 224.00 0.00
82.352 0.00 0.00
82.372 317.00 0.00
82.374 136.00 0.00
82.393 0.00 0.00
82.403 327.00 0.00
82.422 48.00 0.00
82.432 43.00 0.00
82.433 297.00 0.00
82.453 0.00 0.00
82.473 224.00 0.00
82.489 239.00 0.00
82.504 0.00 0.00
82.506 302.00 0.00
82.521 161.00 0.00
82.537 0.00 0.00
82.553 332.00 0.00
82.568 68.00 0.00
82.57 14.00 0.00
82.585 307.00 0.00
82.601 0.00 0.00
82.617 190.00 0.00
82.631 258.00 0.00
82.633 0.00 0.00
82.647 288.00 0.00
82.661 180.00 0.00
82.674 0.00 0.00
82.688 327.00 0.00
82.689 92.00 0.00
82.706 0.00 0.00
82.726 292.00 0.00
82.74 0.00 0.00
82.755 234.00 0.00
82.757 234.00 0.00
82.772 0.00 0.00
82.788 312.00 0.00
82.804 146.00 0.00
82.805 0.00 0.00
82.82 327.00 0.00
82.836 58.00 0.00
82.852 29.00 0.00
82.867 302.00 0.00
82.869 0.00 0.00
82.884 209.00 0.00
82.904 249.00 0.00
82.914 0.00 0.00
82.929 297.00 0.00
82.945 170.00 0.00
82.947 0.00 0.00
82.963 327.00 0.00
82.982 83.00 0.00
82.992 0.00 0.00
82.994 288.00 0.00
83.009 0.00 0.00
83.029 249.00 0.00
83.044 219.00 0.00
83.058 0.00 0.00
83.06 317.00 0.00
83.079 131.00 0.00
83.089 0.00 0.00
83.109 327.00 0.00
83.128 48.00 0.00
83.13 48.00 0.00
83.146 297.00 0.00
83.162 0.00 0.00
83.178 224.00 0.00
83.193 239.00 0.00
83.195 0.00 0.00
83.21 307.00 0.00
83.226 156.00 0.00
83.241 0.00 0.00
83.256 327.00 0.00
83.258 68.00 0.00
83.273 19.00 0.00
83.288 302.00 0.00
83.303 0.00 0.00
83.319 195.00 0.00
83.321 258.00 0.00
83.336 0.00 0.00
83.347 288.00 0.00
83.362 180.00 0.00
83.378 0.00 0.00
83.38 327.00 0.00
